date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01 00:00:00,2.7,-1,8.8,0,,,6,16,1030.1,
2022-01-02 00:00:00,4.3,-2.5,11.1,0,,,7.1,35,1024.9,
2022-01-03 00:00:00,10,8.5,11.3,0,,,12.7,39,1019.8,
2022-01-04 00:00:00,11.4,7.5,15.3,1.4,,,22.2,74,1003.2,
2022-01-05 00:00:00,2.1,-2,5.7,14.5,,,13.5,41,1012,
2022-01-06 00:00:00,0,-3.8,2,0.8,,,4.8,14.8,1021.7,
2022-01-07 00:00:00,0.1,-2.3,1.9,0.7,,,10.7,34,1021.8,
2022-01-08 00:00:00,2.2,-0.2,3.6,2.8,,,14.2,47,1015,
2022-01-09 00:00:00,2.7,0.1,4,11.3,,,16,63,1006.8,
2022-01-10 00:00:00,0.7,-0.8,2.7,1.8,,,6.9,27,1020.6,
2022-01-11 00:00:00,1.5,-0.8,3.3,0,,,12.3,40,1031.8,
2022-01-12 00:00:00,-0.7,-4.3,1.5,0,,,11.6,32,1038.6,
2022-01-13 00:00:00,-1.7,-4.6,1.6,0,,,9.3,27,1041.6,
2022-01-14 00:00:00,-1.9,-5.5,3.5,0,,,3.8,13,1038.3,
2022-01-15 00:00:00,-1.9,-5.4,3.5,0,,,5.2,14,1030.4,
2022-01-16 00:00:00,-0.3,-2.7,3.4,0,,,8.5,30,1030.9,
2022-01-17 00:00:00,2.4,0.3,6.2,0,,,7.8,26,1037,
2022-01-18 00:00:00,1.7,-2.9,4.4,0,,,9.3,37,1037.1,
2022-01-19 00:00:00,1.9,0.2,4.1,0,,,10.1,41,1031,
2022-01-20 00:00:00,1.8,-1.4,4.3,0.3,,,8.4,32,1029.6,
2022-01-21 00:00:00,-0.4,-4.4,2.7,0,,,4.6,33,1034.9,
2022-01-22 00:00:00,0.1,-3.4,4.5,0,,,4.3,14.8,1036.4,
2022-01-23 00:00:00,0.4,-4.8,4.7,0,,,9.2,32,1035.6,
2022-01-24 00:00:00,0.3,-2.6,1.4,0,,,7.4,21,1035,
2022-01-25 00:00:00,0.4,-3.5,4.6,0,,,6.3,18,1035.3,
2022-01-26 00:00:00,-0.7,-4.8,4.8,0,,,6.7,17,1034.3,
2022-01-27 00:00:00,-0.8,-3.5,3.7,2.8,,,8.7,30,1032.8,
2022-01-28 00:00:00,2.3,0.5,6.1,0,,,5.4,21,1036.9,
2022-01-29 00:00:00,2.7,-2.5,7.4,0,,,9.9,39,1034.7,
2022-01-30 00:00:00,5.3,-1.5,8.8,0,,,10.1,38,1030.4,
2022-01-31 00:00:00,2.7,-0.3,4.3,5.4,,,18.4,72,1019.4,
2022-02-01 00:00:00,1.8,1,3,1.3,,,18.9,54,1024.4,
2022-02-02 00:00:00,5.7,3,7,2,,,14.4,42.6,1023.2,
2022-02-03 00:00:00,5.9,4.4,7.7,0.1,,,6,16,1021.7,
2022-02-04 00:00:00,5.3,2.1,6.9,0.2,,,12.2,44,1018.8,
2022-02-05 00:00:00,3.4,-0.5,7.1,2,,,9.4,36,1026,
2022-02-06 00:00:00,3.6,-1.2,7.2,0.6,,,25.8,87,1021.7,
2022-02-07 00:00:00,3.5,-2,6.8,6.3,,,18.4,91,1025.2,
2022-02-08 00:00:00,2.6,-2.4,9.6,0,,,7.4,18,1035.5,
2022-02-09 00:00:00,2.5,-4.8,11.6,0,,,5.1,18,1031.9,
2022-02-10 00:00:00,4.4,-1,11.7,0,,,9.4,35,1026.6,
2022-02-11 00:00:00,4.6,-0.8,6.7,9.7,,,7.7,35,1030.2,
2022-02-12 00:00:00,0.6,-3.3,5.3,0,,,7.6,18,1030.9,
2022-02-13 00:00:00,1.5,-4.7,9.4,0,,,6.1,19,1022.1,
2022-02-14 00:00:00,2.1,-3.9,7.3,0.1,,,6.8,34,1012.5,
2022-02-15 00:00:00,4.7,2.2,7.9,0.4,,,11,34,1017.2,
2022-02-16 00:00:00,5.4,2,8.8,4.5,,,17.2,51.8,1015.3,
2022-02-17 00:00:00,10.3,7.6,13.3,5.8,,,28.2,82,1014.4,
