Schuljahr,Ferienart,Start,Ende
Schuljahr 2019/2020,Herbstferien,,
Schuljahr 2019/2020,Weihnachtsferien,,
Schuljahr 2019/2020,Sportferien,,
Schuljahr 2019/2020,Frühlingsferien,,
Schuljahr 2019/2020,Sommerferien,,
Schuljahr 2020/2021,Herbstferien,,
Schuljahr 2020/2021,Weihnachtsferien,,
Schuljahr 2020/2021,Sportferien,,
Schuljahr 2020/2021,Frühlingsferien,,
Schuljahr 2020/2021,Sommerferien,,
Schuljahr 2021/2022,Herbstferien,,
Schuljahr 2021/2022,Weihnachtsferien,,
Schuljahr 2021/2022,Sportferien,,
Schuljahr 2021/2022,Frühlingsferien,,
Schuljahr 2021/2022,Sommerferien,,
Schuljahr 2022/2023,Herbstferien,,
Schuljahr 2022/2023,Weihnachtsferien,,
Schuljahr 2022/2023,Sportferien,,
Schuljahr 2022/2023,Frühlingsferien,,
Schuljahr 2022/2023,Sommerferien,,
Schuljahr 2023/2024,Herbstferien,,
Schuljahr 2023/2024,Weihnachtsferien,,
Schuljahr 2023/2024,Sportferien,,
Schuljahr 2023/2024,Frühlingsferien,,
Schuljahr 2023/2024,Sommerferien,,
Schuljahr 2024/2025,Herbstferien,,
Schuljahr 2024/2025,Weihnachtsferien,,
Schuljahr 2024/2025,Sportferien,,
Schuljahr 2024/2025,Frühlingsferien,,
Schuljahr 2024/2025,Sommerferien,,
Schuljahr 2024/2025,Sportferien,,
Schuljahr 2024/2025,Frühlingsferien,,
Schuljahr 2024/2025,Sommerferien,,
Schuljahr 2024/2025,Herbstferien,,
Schuljahr 2024/2025,Weihnachtsferien,,
