Summary,Start Date,End Date,Location,Description
Schulen Stadt Zürich: Sommerferien (KW 29-33),2025-08-01,2025-08-16,,
Schulen Stadt Zürich: 1. Schultag,2025-08-18,2025-08-19,,
Schulen Stadt Zürich schulfrei: Knabenschiessen,2025-09-15,2025-09-16,,
Schulen Stadt Zürich: Herbstferien,2025-10-06,2025-10-18,,
Schulen Stadt Zürich schulfrei: Schulschluss um 12 Uhr,2025-12-19,2025-12-20,,
Schulen Stadt Zürich: Weihnachtsferien,2025-12-22,2026-01-03,,
Heilig Abend,2025-12-24,2025-12-25,,
Weihnachten,2025-12-25,2025-12-26,,
Stephanstag,2025-12-26,2025-12-27,,
Silvester,2025-12-31,2026-01-01,,
Berchtoldstag,2026-01-02,2026-01-03,,
Neujahrstag,2026-01-01,2026-01-02,,
Schulen Stadt Zürich: Sportferien,2026-02-09,2026-02-21,,
Schulen Stadt Zürich schulfrei: Gründonnerstag und Ostern,2026-04-02,2026-04-07,,
Gründonnerstag,2026-04-02,2026-04-03,,
Karfreitag,2026-04-03,2026-04-04,,
Ostermontag,2026-04-06,2026-04-07,,
Schulen Stadt Zürich schulfrei: Frühlingsferien (inkl. Sechseläuten am 20. April und Tag der Arbeit am 1. Mai) ,2026-04-20,2026-05-02,,
Sechseläuten,2026-04-20,2026-04-21,,
Tag der Arbeit,2026-05-01,2026-05-02,,
Schulen Stadt Zürich schulfrei: Auffahrt und Freitag nach Auffahrt,2026-05-14,2026-05-16,,
Schulen Stadt Zürich schulfrei: Pfingsten und Pfingstmontag,2026-05-24,2026-05-26,,
Schulen Stadt Zürich: Sommerferien (KW 29-33),2026-07-13,2026-08-15,,
Nationalfeiertag,2026-08-01,2026-08-02,,
Nationalfeiertag,2025-08-01,2025-08-02,,
Ostersonntag,2026-04-05,2026-04-06,,
Pfingstmontag,2026-05-25,2026-05-26,,
Pfingsten,2026-05-24,2026-05-25,,
Auffahrt,2026-05-14,2026-05-15,,
