Date,Abflugverspätung ZRH,anzahl_abfluege_total,piste_10_binär,piste_16,piste_28,piste_32,piste_34,regen,regen_imputiert,windgeschwindigkeit,maximale_windgeschwindigkeit,maximale_windgeschwindigkeit_imputiert,temperatur,oil_price,oil_price_imputiert,90_day_average_oil_price,oil_trend,oil_volatility_90,schnee_vorhanden,schnee_intensität,Feiertage,day_of_week,month,WEF
2022-01-01,19.5969387755102,201,False,21,141,35,4,0.0,False,6.0,16.0,False,2.7,77.24,True,79.33200000000001,-2.840571428571451,4.894700229541935,False,0.0,True,Saturday,1,False
2022-01-02,16.9651162790698,274,False,17,220,36,1,0.0,False,7.1,35.0,False,4.3,77.24,True,79.30799999999999,-2.530857142857144,4.8996560759833505,False,0.0,True,Sunday,1,False
2022-01-03,12.1297071129707,245,False,20,207,16,2,0.0,False,12.7,39.0,False,10.0,78.25,False,79.26133333333334,-2.1984761904761996,4.899123104292283,False,0.0,False,Monday,1,False
2022-01-04,13.529541864139,216,False,0,0,210,6,1.4,False,22.2,74.0,False,11.4,79.39,False,79.21166666666667,-1.71880952380954,4.8863069968448505,False,0.0,False,Tuesday,1,False
2022-01-05,9.48743718592965,212,False,3,104,98,7,14.5,False,13.5,41.0,False,2.1,80.6,False,79.18944444444445,-1.1037301587301727,4.880833728999232,False,0.0,False,Wednesday,1,False
2022-01-06,14.218009478673,216,False,20,145,49,2,0.8,False,4.8,14.8,False,0.0,81.99,False,79.17011111111111,-0.8029682539682597,4.871651427181984,True,0.8,False,Thursday,1,False
2022-01-07,10.4069264069264,234,False,20,188,23,3,0.7,False,10.7,34.0,False,0.1,82.28,False,79.16811111111112,-0.3181111111111079,4.870442818260141,True,0.7,False,Friday,1,False
2022-01-08,13.7124463519313,238,False,18,151,65,4,2.8,False,14.2,47.0,False,2.2,82.28,True,79.16933333333333,0.40066666666668027,4.87121833732454,False,0.0,False,Saturday,1,False
2022-01-09,15.7967479674797,254,False,11,106,129,8,11.3,False,16.0,63.0,False,2.7,82.28,True,79.17055555555557,1.1194444444444258,4.871993422882307,False,0.0,False,Sunday,1,False
2022-01-10,13.4712041884817,197,False,18,166,12,1,1.8,False,6.9,27.0,False,0.7,81.56,False,79.15422222222222,1.8557777777777744,4.858914887363835,True,1.8,False,Monday,1,False
2022-01-11,4.48502994011976,172,False,15,147,5,5,0.0,False,12.3,40.0,False,1.5,84.98,False,79.13233333333334,2.350523809523807,4.843393519683907,False,0.0,False,Tuesday,1,False
2022-01-12,9.57738095238095,173,False,18,143,6,6,0.0,False,11.6,32.0,False,-0.7,85.83,False,79.14844444444444,3.132984126984141,4.860567523878409,False,0.0,False,Wednesday,1,False
2022-01-13,6.51851851851852,192,False,14,164,11,3,0.0,False,9.3,27.0,False,-1.7,85.8,False,79.17033333333333,3.8582380952381072,4.88639097305693,False,0.0,False,Thursday,1,False
2022-01-14,11.8695652173913,214,False,16,185,9,4,0.0,False,3.8,13.0,False,-1.9,87.17,False,79.18288888888888,4.389968253968263,4.902107605538546,False,0.0,False,Friday,1,False
2022-01-15,10.4385026737968,189,False,18,149,16,6,0.0,False,5.2,14.0,False,-1.9,87.17,True,79.21066666666667,5.060761904761918,4.940482576620107,False,0.0,False,Saturday,1,False
2022-01-16,10.7578947368421,193,False,16,150,18,9,0.0,False,8.5,30.0,False,-0.3,87.17,True,79.23844444444444,5.731555555555559,4.978405031150186,False,0.0,False,Sunday,1,False
2022-01-17,5.24864864864865,191,False,16,165,7,3,0.0,False,7.8,26.0,False,2.4,87.82,False,79.27222222222223,6.396349206349214,5.022087792219313,False,0.0,False,Monday,1,False
2022-01-18,6.96273291925466,169,False,10,149,9,1,0.0,False,9.3,37.0,False,1.7,88.83,False,79.30333333333334,7.259523809523799,5.066570322364023,False,0.0,False,Tuesday,1,False
2022-01-19,4.67664670658683,172,False,12,103,52,5,0.0,False,10.1,41.0,False,1.9,89.64,False,79.33744444444444,7.775412698412694,5.120575494585985,False,0.0,False,Wednesday,1,False
2022-01-20,7.62576687116564,165,False,13,139,12,1,0.3,False,8.4,32.0,False,1.8,89.75,False,79.39366666666668,8.263476190476183,5.205852249195,True,0.3,False,Thursday,1,False
2022-01-21,8.29015544041451,202,False,17,171,12,2,0.0,False,4.6,33.0,False,-0.4,89.75,False,79.44166666666666,8.779761904761898,5.28150137191805,False,0.0,False,Friday,1,False
2022-01-22,9.68926553672316,182,False,15,130,32,5,0.0,False,4.3,14.8,False,0.1,89.75,True,79.48966666666668,9.100333333333325,5.355647119388555,False,0.0,False,Saturday,1,False
2022-01-23,6.93717277486911,196,False,19,135,38,4,0.0,False,9.2,32.0,False,0.4,89.75,True,79.53766666666667,9.420904761904765,5.428351095680596,False,0.0,False,Sunday,1,False
2022-01-24,4.1123595505618,187,False,18,158,7,4,0.0,False,7.4,21.0,False,0.3,87.74,False,79.59211111111111,9.735031746031737,5.506244360161192,False,0.0,False,Monday,1,False
2022-01-25,4.78321678321678,144,False,12,125,5,2,0.0,False,6.3,18.0,False,0.4,89.49,False,79.62133333333334,9.694380952380953,5.5427154745178715,False,0.0,False,Tuesday,1,False
2022-01-26,5.66265060240964,172,False,17,144,8,3,0.0,False,6.7,17.0,False,-0.7,91.22,False,79.681,9.729,5.620051391264019,False,0.0,False,Wednesday,1,False
2022-01-27,8.91847826086957,188,False,18,159,11,0,2.8,False,8.7,30.0,False,-0.8,90.7,False,79.76788888888889,9.867825396825396,5.73742014106996,True,2.8,False,Thursday,1,False
2022-01-28,9.47342995169082,213,False,18,181,12,2,0.0,False,5.4,21.0,False,2.3,91.47,False,79.85233333333333,9.919095238095238,5.8419900122620865,False,0.0,False,Friday,1,False
2022-01-29,6.30588235294118,181,False,5,80,85,11,0.0,False,9.9,39.0,False,2.7,91.47,True,79.94533333333334,10.07180952380952,5.959707254706134,False,0.0,False,Saturday,1,False
2022-01-30,8.55154639175258,197,False,4,61,122,10,0.0,False,10.1,38.0,False,5.3,91.47,True,80.03833333333334,10.224523809523802,6.073704097227106,False,0.0,False,Sunday,1,False
2022-01-31,11.6066666666667,180,False,0,25,145,10,5.4,False,18.4,72.0,False,2.7,92.35,False,80.11566666666667,10.392904761904745,6.174747786324415,False,0.0,False,Monday,1,False
